##SIR iterated, tauI=7 tauR=18 R0=1.40  produced by macroInfection[.cpp]
#time[days]	S	I	R
372.0000	0.41765	0.00000	0.58235
373.0000	0.41765	0.00000	0.58235
374.0000	0.41765	0.00000	0.58235
375.0000	0.41765	0.00000	0.58235
376.0000	0.41765	0.00000	0.58235
377.0000	0.41765	0.00000	0.58235
378.0000	0.41765	0.00000	0.58235
379.0000	0.41765	0.00000	0.58235
380.0000	0.41765	0.00000	0.58235
381.0000	0.41765	0.00000	0.58235
382.0000	0.41765	0.00000	0.58235
383.0000	0.41765	0.00000	0.58235
384.0000	0.41765	0.00000	0.58235
385.0000	0.41765	0.00000	0.58235
386.0000	0.41765	0.00000	0.58235
387.0000	0.41765	0.00000	0.58235
388.0000	0.41765	0.00000	0.58235
389.0000	0.41765	0.00000	0.58235
390.0000	0.41765	0.00000	0.58235
391.0000	0.41765	0.00000	0.58235
392.0000	0.41765	0.00000	0.58235
393.0000	0.41765	0.00000	0.58235
394.0000	0.41765	0.00000	0.58235
395.0000	0.41765	0.00000	0.58235
396.0000	0.41765	0.00000	0.58235
397.0000	0.41765	0.00000	0.58235
398.0000	0.41765	0.00000	0.58235
399.0000	0.41765	0.00000	0.58235
400.0000	0.41765	0.00000	0.58235
401.0000	0.41765	0.00000	0.58235
402.0000	0.41765	0.00000	0.58235
403.0000	0.41765	0.00000	0.58235
404.0000	0.41765	0.00000	0.58235
405.0000	0.41765	0.00000	0.58235
406.0000	0.41765	0.00000	0.58235
407.0000	0.41765	0.00000	0.58235
408.0000	0.41765	0.00000	0.58235
409.0000	0.41765	0.00000	0.58235
410.0000	0.41765	0.00000	0.58235
411.0000	0.41765	0.00000	0.58235
412.0000	0.41765	0.00000	0.58235
413.0000	0.41765	0.00000	0.58235
414.0000	0.41765	0.00000	0.58235
415.0000	0.41765	0.00000	0.58235
416.0000	0.41765	0.00000	0.58235
417.0000	0.41765	0.00000	0.58235
418.0000	0.41765	0.00000	0.58235
419.0000	0.41765	0.00000	0.58235
420.0000	0.41765	0.00000	0.58235
421.0000	0.41765	0.00000	0.58235
422.0000	0.41765	0.00000	0.58235
423.0000	0.41765	0.00000	0.58235
424.0000	0.41765	0.00000	0.58235
425.0000	0.41765	0.00000	0.58235
426.0000	0.41765	0.00000	0.58235
427.0000	0.41765	0.00000	0.58235
428.0000	0.41765	0.00000	0.58235
429.0000	0.41765	0.00000	0.58235
430.0000	0.41765	0.00000	0.58235
431.0000	0.41765	0.00000	0.58235
432.0000	0.41765	0.00000	0.58235
433.0000	0.41765	0.00000	0.58235
434.0000	0.41765	0.00000	0.58235
435.0000	0.41765	0.00000	0.58235
436.0000	0.41765	0.00000	0.58235
437.0000	0.41765	0.00000	0.58235
438.0000	0.41765	0.00000	0.58235
439.0000	0.41765	0.00000	0.58235
440.0000	0.41765	0.00000	0.58235
441.0000	0.41765	0.00000	0.58235
442.0000	0.41765	0.00000	0.58235
443.0000	0.41765	0.00000	0.58235
444.0000	0.41765	0.00000	0.58235
445.0000	0.41765	0.00000	0.58235
446.0000	0.41765	0.00000	0.58235
447.0000	0.41765	0.00000	0.58235
448.0000	0.41765	0.00000	0.58235
449.0000	0.41765	0.00000	0.58235
450.0000	0.41765	0.00000	0.58235
451.0000	0.41765	0.00000	0.58235
452.0000	0.41765	0.00000	0.58235
453.0000	0.41765	0.00000	0.58235
454.0000	0.41765	0.00000	0.58235
455.0000	0.41765	0.00000	0.58235
456.0000	0.41765	0.00000	0.58235
457.0000	0.41765	0.00000	0.58235
458.0000	0.41765	0.00000	0.58235
459.0000	0.41765	0.00000	0.58235
